Product_ID,Product_Name,Category,Region,Priority,Status,Base_Price,Price,Quantity,Sales,Customer_ID,Date
P001,Wireless Mouse,Electronics,East,High,Completed,2697.01,2961.68,9,26655.12,,2026-04-23
P002,Wireless Mouse,Electronics,North,High,Completed,809.42,801.14,11,8812.54,CUST014,2026-03-02
P003,Sofa Cushion Set,Furniture,East,Low,Completed,20174.61,21982.82,6,131896.92,CUST007,2026-04-01
P004,Bluetooth Speaker,Electronics,West,High,Pending,15152.59,16840.98,12,202091.76,CUST004,2026-04-11
P005,Mechanical Keyboard,Electronics,East,Medium,Pending,1288.74,1283.04,5,6415.2,CUST008,2026-01-30
P006,Bookshelf,Furniture,West,Medium,Completed,9349.0,9273.29,5,46366.45,CUST022,2026-06-19
P007,USB-C Charger,Electronics,South,High,Completed,24739.66,26669.35,9,240024.15,CUST011,2026-01-19
P008,Basmati Rice 5kg,Grocery,East,Medium,Completed,22841.43,24290.4,12,291484.8,CUST021,2026-05-12
P009,Bed Side Lamp,Furniture,South,High,Completed,14100.0,14135.93,10,141359.3,CUST019,2026-04-17
P010,Denim Jacket,Clothing,South,Medium,Completed,1320.84,1283.76,11,14121.36,CUST022,2026-04-23
P011,Building Blocks Set,Toys,West,Medium,Cancelled,13298.49,15216.34,1,15216.34,CUST004,2026-06-28
P012,Puzzle 1000pc,Toys,East,High,Completed,11425.03,13033.25,12,156399.0,CUST017,2026-02-19
P013,Building Blocks Set,Toys,East,Low,Completed,5092.94,5219.16,3,15657.48,CUST025,2026-05-20
P014,Smartwatch,Electronics,West,High,Cancelled,21986.24,24543.97,5,122719.85,CUST008,2026-05-30
P015,Bluetooth Speaker,Electronics,West,Low,Cancelled,13387.75,13055.09,11,143605.99,CUST018,2026-02-16
P016,Winter Hoodie,Clothing,West,Low,Cancelled,18918.34,20582.65,12,246991.8,CUST022,2026-06-20
P017,Formal Shirt,Clothing,West,High,Completed,8551.43,9130.03,4,36520.12,CUST001,2026-01-23
P018,Laptop Stand,Electronics,North,Low,Cancelled,1910.81,1906.23,11,20968.53,CUST018,2026-02-07
P019,Action Figure,Toys,South,Low,Pending,4881.69,4732.24,7,33125.68,CUST014,2026-05-04
