item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,160,4,1169.5,5.47
2,1,162,5,1620.7,15.62
3,2,85,3,343.14,26.34
4,2,47,2,228.82,0.24
5,2,199,3,877.89,6.99
6,3,123,1,1281.18,0.84
7,3,80,5,1199.36,5.8
8,3,80,1,758.52,1.78
9,3,66,3,64.28,5.71
10,4,190,4,1755.22,11.23
11,5,163,5,1171.88,1.39
12,6,152,4,1295.63,0.7
13,6,106,2,770.69,0.16
14,7,218,5,1513.69,16.22
15,7,169,4,450.18,31.51
16,8,57,3,1277.72,16.58
17,9,155,5,444.04,11.67
18,9,149,4,516.73,10.54
19,10,215,5,312.55,1.19
20,10,186,4,1303.77,1.15
22,11,177,2,211.68,5.09
23,12,50,3,1136.38,15.74
24,12,220,2,71.94,0.6
25,13,17,2,1303.74,0.11
26,14,28,2,1402.92,1.73
27,14,92,5,1274.03,5.66
28,14,121,1,1001.9,6.61
29,15,67,3,996.83,1.39
30,15,19,2,1682.52,10.1
31,15,49,4,287.84,15.27
32,15,118,3,333.69,6.31
33,16,149,4,910.46,16.6
34,16,213,1,63.64,16.98
35,17,146,3,689.67,10.1
36,17,166,4,791.49,0.93
37,17,54,3,109.91,1.59
38,18,209,5,1099.06,0.78
39,19,193,2,362.15,1.99
40,19,35,1,246.32,6.98
41,20,57,2,460.28,5.14
42,21,117,3,1679.4,1.71
43,22,193,3,452.18,15.35
44,22,21,2,1638.87,16.11
45,23,56,3,1291.55,25.26
46,24,205,5,1458.05,16.83
47,25,42,2,530.35,20.12
48,26,67,5,835.31,15.2
49,26,177,4,581.4,0.21
50,26,47,3,94.83,6.08
51,27,174,4,1133.92,1.74
52,28,206,5,1408.58,0.79
53,28,130,2,1705.14,6.25
54,29,48,1,238.33,0.09
55,30,179,3,1768.62,11.61
56,31,19,4,1539.83,20.97
57,31,58,5,276.14,1.94
58,31,46,5,576.42,21.53
59,32,127,4,1348.45,1.12
60,33,39,2,207.81,1.36
61,33,166,4,1530.75,0.39
62,33,210,2,368.23,0.6
63,34,216,5,900.88,100.0
64,35,96,5,1231.19,16.37
65,36,202,4,896.82,11.81
66,37,154,3,748.34,0.9
67,38,92,5,280.73,6.77
68,39,35,1,1179.15,11.85
69,39,19,3,1663.69,26.54
70,39,82,3,1364.62,15.8
71,40,40,4,314.39,10.59
72,40,111,4,141.42,16.25
73,41,50,2,1304.31,1.08
74,42,219,2,1269.35,1.64
75,42,25,2,1408.89,5.59
76,43,138,2,1566.17,11.07
77,43,3,1,1375.62,0.65
78,44,79,2,1507.72,15.09
79,45,128,4,1150.71,6.66
80,45,100,4,510.78,21.5
81,46,34,2,536.67,1.22
82,47,20,2,333.52,0.13
83,48,204,1,510.12,6.02
84,48,180,1,166.64,20.89
85,49,157,3,1037.78,11.3
86,49,189,5,40.72,0.86
87,50,181,1,116.99,0.39
88,50,140,4,343.45,0.64
89,51,136,2,991.95,0.71
90,52,158,2,1189.67,11.22
91,52,179,4,299.41,5.87
92,52,217,5,1787.33,1.74
93,53,53,2,1467.13,6.49
94,53,162,5,1643.93,16.54
95,53,64,4,996.11,30.22
96,54,203,2,366.02,1.22
97,54,131,2,632.04,1.47
98,55,182,1,733.88,20.99
99,55,194,3,1486.81,1.27
100,56,209,3,449.02,0.25
101,56,30,4,1653.21,15.7
102,56,137,2,976.13,1.32
103,57,211,2,1264.18,6.39
104,57,196,2,1102.89,6.66
105,57,79,5,915.48,11.9
106,57,70,4,1132.75,0.89
107,58,6,4,486.27,6.53
109,58,79,4,462.56,6.24
110,59,131,2,1445.9,21.69
111,60,118,5,1698.98,0.8
112,61,98,3,1398.65,10.53
113,62,164,5,1452.14,20.65
114,63,42,4,255.48,5.79
115,63,16,1,1512.56,1.07
116,63,198,2,5.98,21.15
117,63,11,3,871.03,16.08
118,64,214,1,998.23,100.0
119,64,95,1,89.8,1.36
120,65,152,5,643.82,1.82
121,66,67,5,348.89,6.08
122,67,146,1,907.26,6.44
123,68,107,1,61.06,10.41
124,68,13,2,492.13,1.9
125,69,101,4,497.29,0.84
126,69,96,2,545.09,0.28
127,69,89,5,1077.25,20.27
128,69,48,2,229.17,0.47
129,70,204,1,469.22,1.8
130,71,96,5,404.99,5.34
131,71,137,2,566.01,5.16
133,72,169,2,1703.98,25.14
134,73,164,2,1141.79,5.31
135,73,140,2,1113.39,11.42
136,73,47,5,1205.13,1.68
137,73,26,4,212.6,10.98
138,74,14,5,1533.76,0.62
139,75,121,2,1377.61,10.71
140,76,191,3,206.28,15.92
141,76,207,5,829.73,1.69
142,77,131,5,59.36,1.06
143,78,52,2,1486.77,11.2
144,79,130,5,1601.88,21.11
145,79,140,4,357.36,1.11
146,80,32,4,1246.26,6.66
147,81,208,5,94.75,11.73
148,82,72,4,896.33,15.89
149,83,151,1,1776.55,1.63
150,83,66,4,1134.24,6.94
151,83,148,5,1423.58,15.22
152,84,148,1,958.67,1.86
153,84,181,1,974.84,6.04
154,85,71,5,1398.78,1.5
155,86,150,3,791.28,11.75
156,86,85,5,630.61,11.89
157,87,37,1,796.79,11.46
158,88,215,1,1476.9,1.08
159,88,116,1,834.51,26.5
160,88,68,3,1460.54,16.59
161,89,134,4,1767.77,0.36
162,89,136,5,618.39,6.07
163,89,157,4,1502.55,1.89
164,90,189,5,1183.76,21.69
165,90,214,1,804.3,10.74
166,90,109,5,377.87,20.75
167,91,138,1,1359.41,6.5
168,91,50,2,1213.64,1.49
169,92,3,2,1725.55,11.71
170,92,166,3,632.46,0.85
171,93,137,1,1540.78,15.09
172,94,183,4,375.82,0.69
173,95,98,4,256.05,5.43
175,96,193,4,167.17,10.58
176,96,86,4,1477.64,0.97
177,97,26,4,525.87,6.36
178,97,131,2,851.41,0.06
179,97,197,4,740.7,0.5
180,98,66,1,1471.52,15.15
181,98,179,4,1726.22,1.78
182,98,163,3,740.22,1.95
183,99,140,1,247.99,30.02
184,99,109,2,1680.86,10.2
185,100,136,5,417.7,0.42
186,100,205,1,756.01,6.39
187,101,178,1,1027.55,1.07
188,101,131,4,1378.64,21.51
189,102,213,3,970.06,20.27
190,103,6,4,1451.85,26.97
191,103,215,3,1397.31,15.07
192,103,129,5,1622.56,10.41
193,104,132,2,1319.48,0.57
194,105,60,1,1091.05,10.23
195,106,108,1,339.39,0.27
196,106,11,3,126.74,21.72
197,106,9,3,813.13,0.54
198,107,127,5,1510.76,1.13
199,107,200,2,1513.14,10.12
200,108,163,2,263.84,1.9
201,109,39,4,1769.42,21.15
202,109,21,4,1516.36,100.0
203,110,45,4,183.92,11.24
204,110,135,4,183.09,100.0
205,111,15,2,1403.37,0.67
206,111,206,4,1299.99,0.72
207,112,87,4,859.05,0.12
208,113,145,1,51.66,6.23
209,113,9,4,313.14,0.41
210,113,191,5,853.34,0.78
211,113,206,3,572.6,26.55
213,114,79,2,735.68,30.29
214,114,220,2,334.68,1.3
215,114,55,5,489.43,1.91
216,115,70,3,1336.72,6.69
217,116,173,2,760.1,10.63
218,117,167,4,1086.81,1.11
219,118,89,3,1053.9,5.76
220,119,82,5,1048.69,20.34
221,119,194,3,1319.85,21.77
222,120,132,4,232.79,7.0
223,120,69,3,823.85,1.5
224,120,23,5,201.62,0.58
225,121,12,1,729.58,16.53
226,122,52,4,1096.23,15.26
227,122,59,3,974.9,10.54
228,122,41,1,407.08,30.82
229,122,183,1,306.87,30.4
