return_id,order_id,product_id,quantity,return_date,reason,refund_amount
1,5,163,5,2025-03-15,WRONG_ITEM,5777.95
2,19,35,1,2025-06-29,DEFECTIVE,229.13
3,21,117,1,2024-03-12,WRONG_ITEM,1650.68
4,84,181,1,2025-08-02,NOT_AS_DESCRIBED,915.96
5,109,39,4,2024-02-18,DAMAGED_SHIPPING,5580.75
6,119,194,3,2025-01-03,WRONG_ITEM,3097.56
7,128,39,1,2026-02-06,DEFECTIVE,0.0
8,157,159,2,2025-06-02,WRONG_ITEM,2788.01
9,171,201,4,2025-07-14,NOT_AS_DESCRIBED,1489.65
10,177,3,1,2026-01-31,WRONG_ITEM,525.76
11,190,37,1,2025-04-07,DEFECTIVE,1508.6
12,194,198,2,2025-02-17,DEFECTIVE,1727.07
13,196,45,1,2026-02-21,NOT_AS_DESCRIBED,1319.89
14,203,125,1,2025-05-19,DAMAGED_SHIPPING,578.79
15,213,216,4,2026-03-07,DEFECTIVE,2771.63
16,227,38,1,2025-11-21,DEFECTIVE,818.37
17,235,180,3,2025-04-30,OTHER,3582.96
18,237,73,3,2025-02-10,CHANGED_MIND,388.67
19,266,41,2,2024-05-25,NOT_AS_DESCRIBED,2606.23
20,285,186,5,2025-08-08,DAMAGED_SHIPPING,6255.65
21,295,70,3,2026-05-06,NOT_AS_DESCRIBED,123.39
22,297,99,2,2024-12-11,OTHER,482.19
23,333,4,1,2025-12-10,CHANGED_MIND,1594.63
24,336,192,1,2025-12-15,WRONG_ITEM,925.65
25,341,208,4,2026-06-29,WRONG_ITEM,5816.19
26,348,179,2,2025-12-29,DEFECTIVE,1469.24
27,376,16,2,2026-04-03,DAMAGED_SHIPPING,1154.73
28,383,152,1,2025-06-12,WRONG_ITEM,771.27
29,404,32,1,2024-12-30,DEFECTIVE,945.43
30,409,190,1,2024-07-27,WRONG_ITEM,823.74
31,420,150,1,2024-12-25,DEFECTIVE,365.54
32,421,127,2,2026-04-07,DEFECTIVE,1550.79
33,428,112,4,2025-07-03,CHANGED_MIND,870.75
34,429,56,3,2026-08-04,OTHER,0.0
35,440,144,1,2024-06-25,DEFECTIVE,459.39
36,475,79,2,2025-12-07,OTHER,2695.43
37,476,2,1,2024-02-23,DEFECTIVE,1005.68
38,488,75,2,2025-08-15,DAMAGED_SHIPPING,201.03
39,493,125,1,2025-05-19,NOT_AS_DESCRIBED,784.95
40,510,7,3,2026-02-13,DEFECTIVE,1959.63
41,515,134,2,2024-03-03,DEFECTIVE,2832.09
42,539,103,1,2024-11-04,CHANGED_MIND,876.86
43,562,156,2,2025-06-04,DEFECTIVE,1004.18
44,576,107,3,2025-12-28,OTHER,4987.92
45,603,93,2,2024-08-30,NOT_AS_DESCRIBED,973.7
46,615,51,1,2025-03-15,DEFECTIVE,881.76
47,645,200,2,2025-12-03,CHANGED_MIND,880.68
48,647,109,4,2026-08-30,NOT_AS_DESCRIBED,2636.25
49,656,181,1,2025-04-17,NOT_AS_DESCRIBED,1061.51
50,669,3,1,2025-12-05,DEFECTIVE,1282.22
51,701,133,2,2024-08-13,CHANGED_MIND,2453.34
52,709,17,1,2024-11-12,DEFECTIVE,399.94
53,711,93,4,2025-06-23,NOT_AS_DESCRIBED,24.86
54,727,179,4,2024-12-21,NOT_AS_DESCRIBED,3950.99
55,735,215,1,2024-04-22,DEFECTIVE,225.47
56,741,44,1,2024-01-30,WRONG_ITEM,581.9
57,744,38,2,2025-07-06,CHANGED_MIND,2589.71
58,745,111,1,2026-01-23,CHANGED_MIND,178.97
59,766,102,2,2024-01-21,DAMAGED_SHIPPING,2079.52
60,773,142,1,2024-09-28,DEFECTIVE,1224.85
61,806,169,1,2026-05-19,CHANGED_MIND,1296.0
62,853,51,2,2024-02-15,DEFECTIVE,3104.55
63,855,89,2,2024-05-03,DEFECTIVE,2055.43
64,858,48,2,2025-03-12,WRONG_ITEM,1480.01
65,868,205,1,2024-08-07,CHANGED_MIND,1116.67
66,889,196,1,2026-07-20,CHANGED_MIND,1348.03
67,891,143,1,2024-04-18,OTHER,773.12
68,926,217,1,2025-02-18,DAMAGED_SHIPPING,1197.11
69,955,47,5,2024-07-24,WRONG_ITEM,1027.14
70,966,147,3,2026-03-01,NOT_AS_DESCRIBED,2479.21
71,978,202,2,2024-11-30,NOT_AS_DESCRIBED,2628.74
72,981,96,3,2025-01-04,NOT_AS_DESCRIBED,3580.0
73,1024,49,2,2025-09-22,DEFECTIVE,2520.27
74,1026,34,3,2025-05-25,DEFECTIVE,115.59
75,1036,25,4,2025-05-23,NOT_AS_DESCRIBED,67.38
76,1077,80,2,2026-08-10,DEFECTIVE,1868.6
77,1081,46,2,2025-08-11,CHANGED_MIND,3361.38
78,1087,169,2,2025-07-31,DAMAGED_SHIPPING,335.88
