order_id,customer_id,order_date,status,region_code
1,384,11-01-2026,DELIVERED,APAC
2,172,2024-11-24 00:00:00,RETURNED,APAC
3,446,2026-05-05 00:00:00,DELIVERED,NA-EAST
4,113,2024-12-05 00:00:00,DELIVERED,APAC
5,444,2025-02-21 00:00:00,DELIVERED,EU-WEST
6,47,2025-09-25 00:00:00,DELIVERED,NA-EAST
7,,2025-12-03 00:00:00,DELIVERED,LATAM
8,559,2026-02-03 00:00:00,DELIVERED,LATAM
9,567,25-10-2025,CANCELLED,NA-WEST
10,88,2025-09-02 00:00:00,DELIVERED,LATAM
11,182,2025-06-08 00:00:00,SHIPPED,NA-WEST
12,298,2025-07-16 00:00:00,DELIVERED,EU-CENTRAL
13,241,2024-12-04 00:00:00,SHIPPED,APAC
14,503,2024-12-02 00:00:00,SHIPPED,APAC
15,447,2024-01-05 00:00:00,DELIVERED,EU-CENTRAL
16,499,2025-04-18 00:00:00,DELIVERED,NA-WEST
17,270,2026-04-26 00:00:00,DELIVERED,LATAM
18,553,2025-07-18 00:00:00,DELIVERED,NA-WEST
19,6,2025-06-06 00:00:00,DELIVERED,APAC
20,150,12-06-2024,DELIVERED,EU-WEST
21,134,2024-03-05 00:00:00,DELIVERED,EU-CENTRAL
22,281,2024-11-27 00:00:00,CANCELLED,EU-CENTRAL
23,80,2025-01-22 00:00:00,DELIVERED,EU-WEST
24,199,2025-03-26 00:00:00,SHIPPED,NA-WEST
25,117,2025-11-07 00:00:00,DELIVERED,EU-WEST
26,484,24-02-2025,DELIVERED,NA-WEST
27,114,2025-08-09 00:00:00,DELIVERED,EU-WEST
28,331,2026-04-21 00:00:00,DELIVERED,EU-WEST
29,187,2025-09-07 00:00:00,DELIVERED,APAC
30,55,2024-03-11 00:00:00,PLACED,APAC
31,380,2025-11-25 00:00:00,CANCELLED,LATAM
32,590,2024-12-24 00:00:00,PLACED,NA-WEST
33,419,2024-03-26 00:00:00,DELIVERED,NA-EAST
34,110,2025-12-05 00:00:00,SHIPPED,LATAM
35,294,2025-08-01 00:00:00,DELIVERED,EU-WEST
36,213,2025-07-26 00:00:00,DELIVERED,LATAM
37,347,2024-06-14 00:00:00,CANCELLED,APAC
38,587,2025-10-13 00:00:00,DELIVERED,APAC
39,534,2026-01-11 00:00:00,DELIVERED,APAC
40,405,2025-05-21 00:00:00,DELIVERED,NA-EAST
41,170,2025-09-21 00:00:00,DELIVERED,NA-WEST
42,531,2025-11-16 00:00:00,PLACED,LATAM
43,284,2027-03-14 00:00:00,SHIPPED,NA-WEST
44,207,2025-06-02 00:00:00,DELIVERED,NA-EAST
45,340,2026-02-27 00:00:00,DELIVERED,APAC
46,561,2025-12-18 00:00:00,DELIVERED,LATAM
47,484,2025-05-02 00:00:00,DELIVERED,LATAM
48,185,2024-07-23 00:00:00,SHIPPED,NA-WEST
49,505,2026-03-08 00:00:00,DELIVERED,APAC
50,589,2024-11-18 00:00:00,CANCELLED,EU-WEST
51,56,2025-02-11 00:00:00,DELIVERED,EU-WEST
52,,2026-03-05 00:00:00,DELIVERED,LATAM
53,266,2024-04-13 00:00:00,SHIPPED,EU-CENTRAL
54,430,2025-01-09 00:00:00,DELIVERED,EU-CENTRAL
55,235,2025-08-08 00:00:00,CANCELLED,LATAM
56,154,2025-01-25 00:00:00,DELIVERED,NA-EAST
57,95,2025-08-04 00:00:00,PLACED,EU-CENTRAL
58,464,2024-12-08 00:00:00,RETURNED,EU-CENTRAL
59,490,2025-11-26 00:00:00,DELIVERED,APAC
60,458,2025-11-20 00:00:00,CANCELLED,EU-WEST
61,346,2026-06-08 00:00:00,DELIVERED,APAC
62,206,2024-06-14 00:00:00,DELIVERED,APAC
63,14,2025-04-06 00:00:00,SHIPPED,NA-WEST
64,49,22-03-2024,PLACED,EU-WEST
65,87,2024-03-26 00:00:00,DELIVERED,EU-WEST
66,175,2025-10-03 00:00:00,PLACED,LATAM
67,553,2025-07-15 00:00:00,SHIPPED,APAC
68,92,2026-07-19 00:00:00,DELIVERED,EU-CENTRAL
69,428,2027-07-26 00:00:00,PLACED,EU-WEST
70,303,2026-03-26 00:00:00,CANCELLED,EU-WEST
71,246,2024-08-13 00:00:00,DELIVERED,APAC
72,187,2024-10-02 00:00:00,SHIPPED,NA-EAST
73,428,2024-11-24 00:00:00,PLACED,NA-EAST
74,387,2024-01-09 00:00:00,SHIPPED,EU-WEST
75,150,2024-02-02 00:00:00,PLACED,EU-WEST
76,523,2026-05-11 00:00:00,SHIPPED,LATAM
77,534,2024-07-22 00:00:00,DELIVERED,NA-WEST
78,563,2024-11-26 00:00:00,DELIVERED,EU-CENTRAL
79,,28-11-2024,SHIPPED,NA-WEST
80,48,2025-12-05 00:00:00,SHIPPED,EU-WEST
81,433,2024-03-02 00:00:00,DELIVERED,NA-WEST
82,367,2026-01-20 00:00:00,DELIVERED,EU-CENTRAL
83,267,2025-05-16 00:00:00,DELIVERED,EU-WEST
84,461,2025-07-21 00:00:00,DELIVERED,EU-CENTRAL
85,524,2025-06-02 00:00:00,DELIVERED,EU-CENTRAL
86,195,2025-11-05 00:00:00,DELIVERED,EU-WEST
87,45,23-04-2024,CANCELLED,NA-WEST
88,398,2024-04-11 00:00:00,DELIVERED,APAC
89,504,2024-03-13 00:00:00,RETURNED,NA-EAST
90,209,2025-06-25 00:00:00,PLACED,NA-WEST
91,179,2025-06-28 00:00:00,DELIVERED,NA-WEST
92,171,2025-12-20 00:00:00,DELIVERED,APAC
93,223,2025-09-06 00:00:00,DELIVERED,EU-CENTRAL
94,385,2025-09-15 00:00:00,DELIVERED,LATAM
95,202,2027-04-07 00:00:00,DELIVERED,APAC
96,283,2026-05-26 00:00:00,CANCELLED,APAC
97,503,2024-06-08 00:00:00,SHIPPED,EU-CENTRAL
98,231,2026-07-28 00:00:00,DELIVERED,NA-WEST
99,343,2025-08-13 00:00:00,DELIVERED,EU-WEST
