item_id,order_id,product_id,quantity,unit_price,discount_percent
21,9799,134,5,1545.35,0.5
108,9992,78,1,1377.22,10.79
132,6581,90,2,187.42,16.72
174,7970,103,5,445.4,6.6
212,6707,29,5,305.1,21.93
260,8922,174,2,1487.76,15.37
424,6734,98,5,327.44,11.64
439,5426,165,3,604.54,11.64
496,10321,205,2,268.4,1.2
763,9864,72,4,119.86,15.71
824,9982,2,5,1649.39,25.25
950,4309,77,4,1594.91,0.85
990,7540,40,1,287.43,1.62
1015,8049,27,3,708.98,20.84
1180,9398,28,5,430.84,5.29
1200,4027,15,5,549.72,1.82
1260,3578,149,4,1730.01,11.44
1321,4587,41,2,609.6,5.65
1611,10575,50,5,1576.11,0.94
1699,8199,107,2,1075.84,0.67
2055,10188,21,2,577.15,0.94
2187,7966,88,4,688.28,1.08
2251,7023,181,4,1542.19,15.65
2297,2593,117,4,1145.91,6.15
2414,3632,40,5,679.35,10.66
2536,9362,192,1,1332.89,15.37
2613,6338,183,4,694.06,6.94
2619,5063,8,4,24.99,16.33
2727,4513,83,1,821.46,1.04
2765,7895,202,5,831.33,1.01
