customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
368.0,26,13,59856.491172,1,1,1,111,VIP
178.0,274,8,58480.38113,3,1,1,311,High Value
125.0,259,10,53958.877683,3,1,1,311,High Value
295.0,116,8,52845.980098,2,1,1,211,High Value
490.0,132,10,52254.840265,2,1,1,211,High Value
179.0,34,9,48786.671804,1,1,1,111,VIP
542.0,19,10,48661.069220000005,1,1,1,111,VIP
315.0,104,7,47897.003731000004,2,1,1,211,High Value
504.0,120,6,46228.982640999995,2,1,1,211,High Value
202.0,-240,10,43174.995784,1,1,1,111,VIP
53.0,214,7,42665.147406000004,2,1,1,211,High Value
523.0,91,8,40851.673912,1,1,1,111,VIP
536.0,23,10,39524.84143,1,1,1,111,VIP
122.0,261,6,38817.389272,3,1,1,311,High Value
391.0,56,7,37814.877731,1,1,1,111,VIP
231.0,13,7,37716.412865,1,1,1,111,VIP
547.0,28,7,37642.263003,1,1,1,111,VIP
321.0,47,9,37400.644478999995,1,1,1,111,VIP
288.0,61,9,37367.492040000005,1,1,1,111,VIP
58.0,67,6,37307.585917000004,1,1,1,111,VIP
428.0,-350,6,37190.867221,1,1,1,111,VIP
439.0,263,5,36538.972487,3,1,1,311,High Value
561.0,235,6,36279.375824999996,2,1,1,211,High Value
484.0,221,10,36110.189795,2,1,1,211,High Value
562.0,10,5,35914.454508,1,1,1,111,VIP
567.0,-280,8,35555.101252,1,1,1,111,VIP
470.0,23,6,35069.365026,1,1,1,111,VIP
322.0,270,5,34824.372107999996,3,1,1,311,High Value
298.0,125,8,34145.219886,2,1,1,211,High Value
302.0,131,8,33681.747483,2,1,1,211,High Value
56.0,-503,7,33417.415927,1,1,1,111,VIP
335.0,216,6,33101.910152000004,2,1,1,211,High Value
333.0,13,6,33047.576105,1,1,1,111,VIP
329.0,30,8,32942.53097,1,1,1,111,VIP
560.0,267,4,32702.330676999998,3,1,1,311,High Value
185.0,33,7,31157.590336,1,1,1,111,VIP
